,16Hz,31.5Hz,63Hz,125Hz,250Hz,500Hz,1000Hz,2000Hz,4000Hz,8000Hz,target
26,0.08969056976099403,0.06906119991468629,0.049892596896951025,0.051456353388136804,0.09077524918551666,0.20574319509040997,1.0,0.7095313389245237,0.06986589090037326,0.0,Andean Guan
27,0.08969056976099403,0.06906119991468629,0.049892596896951025,0.051456353388136804,0.09077524918551666,0.20574319509040997,1.0,0.7095313389245237,0.06986589090037326,0.0,Andean Guan
28,0.08969056976099403,0.06906119991468629,0.049892596896951025,0.051456353388136804,0.09077524918551666,0.20574319509040997,1.0,0.7095313389245237,0.06986589090037326,0.0,Andean Guan
29,0.0,0.0031426056117769595,0.06058963445354102,0.1707322108781223,0.3852843369445785,0.44100519953646056,1.0,0.7358874200974317,0.11544018147812277,0.029903074918563706,Andean Guan
30,0.07850660643647014,0.27359473554744757,0.15518915277466103,0.12803165913784598,0.09043249447896476,0.09499359517574654,0.22190338327200487,1.0,0.49535203396084004,0.0,Andean Tinamou
31,0.3330507847583375,0.5824349063538291,0.3273872880398386,1.0,0.24922299080481106,0.5530587603087649,0.14330463339460614,0.12710631946223855,0.08909744075385374,0.0,Andean Tinamou
32,0.0,0.0027291426999476415,0.0015783014648304591,0.055794165226602986,0.875952285153352,0.7387861752786482,0.35486544923215774,1.0,0.8322489000463276,0.12865462277181142,Andean Tinamou
33,0.0,0.0027291426999476415,0.0015783014648304591,0.055794165226602986,0.875952285153352,0.7387861752786482,0.35486544923215774,1.0,0.8322489000463276,0.12865462277181142,Andean Tinamou
34,0.0,0.015176447071384927,0.22787151552904522,0.5951741100459327,0.5559478304417026,1.0,0.13990612914922668,0.1790638511453807,0.7229128240420868,0.04521333081546914,Andean Tinamou
35,0.008983144561306151,0.0072849272832022785,0.03000495286523405,0.04820566787993849,0.037699167376369885,0.033631375862499306,0.1710180754688713,1.0,0.6983530305931723,0.0,Andean Tinamou
36,0.1468674083548472,1.0,0.2924823552130758,0.6619345908653357,0.8476929340282631,0.7038446195399277,0.6063288755564081,0.23189558137015331,0.29003628958058214,0.0,Andean Tinamou
